id,http_code_old,IPA
r_sicili:3a3fc0e0-673e-4ef0-9f27-495f10e769d7,200,r_sicili
r_sicili:e61df0ed-fd33-4537-8579-9857b4094afa,404,r_sicili
r_sicili:1f342418-3361-4fc0-8ac3-1cb11b40f9e1,200,r_sicili
p_en:b5fcf2b2-e26f-4bac-ae75-3ec64bc0461b,500,p_en
r_sicili:545ac0f6-17fc-41ae-a640-d2a657b25eea,200,r_sicili
r_sicili:dba5d88c-fef1-4c99-a3e1-c74db47a2b1f,200,r_sicili
p_en:a5267e96-8677-46a2-b578-d37dda34b1e8,500,p_en
p_tp:2568bfc9-6f36-43d3-921d-c2cf5a311f33,000,p_tp
p_tp:67de6761-d140-42d8-bb79-72230a5b91e6,000,p_tp
p_tp:5dd62230-63be-4d7a-8318-3dbaac8e13a8,000,p_tp
p_tp:9cd9619d-a51c-42b2-a780-e7181f53a1d5,000,p_tp
p_en:067769e7-59b0-4d39-980f-ebbe241a16a8,500,p_en
p_en:025040aa-3fa6-41e9-8ed3-74f528c594e7,500,p_en
r_sicili:514d3ead-5dd3-4673-8b5c-44a231587965,200,r_sicili
p_en:8af0ee7c-85f3-4e08-9e84-9148326b3bae,500,p_en
r_sicili:c29a43d5-8779-4f9c-ae33-e1612468c9b1,200,r_sicili
p_tp:5993c8c6-8e22-47a4-8449-76839d6e2126,000,p_tp
p_tp:0819362d-068a-4a69-89b8-1b2a6cb696e8,403,p_tp
p_en:ae30b3f7-5e5b-4986-86ce-8fde777c3fd9,500,p_en
p_en:8f552836-f996-4dd9-89c5-7d625d00a4d7,500,p_en
p_en:3c954a9c-2002-48fb-a8de-c02cf284c08c,500,p_en
p_en:864e80fc-3c63-4a5e-a65f-7cf37e481b76,500,p_en
p_en:6c3380a3-82b8-4de1-a698-152719fe932c,500,p_en
r_sicili:e4ece106-d1ac-4616-b0e7-baa10d1f5e5a,200,r_sicili
p_en:1cd8c624-d8bc-4314-b6df-c28671373b6e,500,p_en
r_sicili:a8715e8b-932a-43fd-b528-1200db3e65d6,200,r_sicili
r_sicili:bace68f9-a027-4a7b-879b-7e6ce6afb268,200,r_sicili
r_sicili:e066d22e-77cb-4a91-bfcb-12f9af6832ab,200,r_sicili
r_sicili:04001a3b-b681-473e-aa6d-216ff5cbd31f,200,r_sicili
r_sicili:d91d21b5-6f52-4e35-8d64-9826c55c98f1,200,r_sicili
r_sicili:359be785-4bea-4dd8-b97c-1de98208d364,200,r_sicili
r_sicili:5a78d25a-2fbc-4a79-9609-1d87529734bd,200,r_sicili
r_sicili:ba8dace5-a39f-44f3-b45a-3c94624b29eb,200,r_sicili
r_sicili:7490ffca-d3b4-495e-a46f-7b35c1d0926b,204,r_sicili
r_sicili:13dce1c2-0bfb-4284-b6f7-450960864e2b,200,r_sicili
r_sicili:f577f189-0585-44cc-8d8a-e3e8bc6cfdb7,200,r_sicili
r_sicili:449a45a2-9c31-4dfe-8013-90c4dd19f8a2,200,r_sicili
r_sicili:6e7801ff-6895-49f9-80bb-c28b415ec063,000,r_sicili
r_sicili:d0b2cf65-eea2-41f7-b2b7-614d9af1d2db,204,r_sicili
r_sicili:be0bed97-5fdf-442e-a7ea-aa3307346a2a,000,r_sicili
r_sicili:1adb6b21-fe07-4081-b0df-89ab54aa6be1,000,r_sicili
r_sicili:60ca51e6-2042-4c5b-b415-edb44c793517,000,r_sicili
r_sicili:38273244-be94-45bc-9149-fdff807f26a6,200,r_sicili
p_cl:d678a6de-e136-4887-8e85-aa2002cbf689,000,p_cl
p_cl:f07f73cd-4a91-4788-aa12-f655c33a12d5,000,p_cl
p_cl:0032e895-99d1-4414-a260-9a4f1189c200,000,p_cl
r_sicili:4ba120ac-c436-4077-b444-c681be45c9db,200,r_sicili
r_sicili:c772de16-dd10-4ada-a9e3-be91a9ecfe00,200,r_sicili
r_sicili:1246d4fe-880c-4d47-889e-72c2a3b61e0c,000,r_sicili
r_sicili:4f2448cd-39ca-4b3c-be66-1c0aa1c59c23,200,r_sicili
r_sicili:ee068e59-8f5a-4a43-aa75-214507964577,200,r_sicili
r_sicili:1bc10d13-9d06-4b1c-9308-bdc6c4c4865a,200,r_sicili
r_sicili:3f368c4c-a98c-4da1-ad73-26b75e48c3a5,000,r_sicili
p_tp:27fb7de3-4b98-48cd-817e-be601390d5b5,403,p_tp
p_en:ebbfa357-42fb-45f7-9f98-73e3c8c7e611,500,p_en
r_sicili:0037168e-ee46-4dfc-9299-b32ec537b4d7,000,r_sicili
p_en:0199ab93-2a84-4484-a7b6-b0d8d573592b,500,p_en
p_en:0450c77e-d4d0-4bf3-af8a-6fe60b44b7dc,500,p_en
p_en:1d2aa4db-344e-46b6-b290-e93263efc826,500,p_en
r_sicili:01f287d4-c2c8-4220-9777-bd0bc0841cdc,000,r_sicili
r_sicili:10ed7619-3ca7-42ea-930e-d2a6e765072e,000,r_sicili
p_tp:26bfaffb-e255-43d4-8401-f3fcb2b9abeb,000,p_tp
p_tp:2242d220-2cfb-49f2-a5bb-9407ec89732b,403,p_tp
r_sicili:c504dc97-11ab-403b-acb2-7dbcea23b11f,204,r_sicili
r_sicili:dba43e80-e7c2-4001-8e98-6d1d6a217240,204,r_sicili
r_sicili:e685398d-e80f-44bf-84b8-f170b24c7f65,200,r_sicili
r_sicili:dce99550-1c65-4d9e-a2e7-4ba133d41ba7,000,r_sicili
r_sicili:98ae3ab4-99de-4caa-ad01-fa26165582ed,404,r_sicili
p_tp:caf46bbf-3680-40ec-af9e-53f3ec3c5a29,403,p_tp
p_en:57ee0702-c375-4e77-82cb-eeb15b021863,500,p_en
p_en:efd18559-53c0-41fc-b5fa-e8c5bbc8d99a,500,p_en
c_a089:87b38490-efda-4fd5-950d-4a0010d6160d,500,c_a089
r_sicili:047b68c7-9490-4193-b2b6-36928d039240,000,r_sicili
p_en:ebe9b2b3-bdc1-410b-9ea7-6bf42ba9fd25,500,p_en
p_en:0aff6cc1-116c-4f35-af9f-d4b9b458793f,500,p_en
r_sicili:7867c1f0-c8eb-43dd-aacb-c6585b55df7b,200,r_sicili
r_sicili:5ca80bef-05dd-4c71-a475-258ccae6fc54,000,r_sicili
r_sicili:af0a4f7e-afe0-49ef-92d5-bdf6bfda28c7,200,r_sicili
r_sicili:b2411485-a0b3-45a5-92bd-180c97669256,200,r_sicili
r_sicili:024e581a-ce64-4b60-b95f-0612146b3173,000,r_sicili
r_sicili:1e338e90-5250-4cd2-9875-536bcbef04af,000,r_sicili
r_sicili:3c75ce1e-f9c8-4c85-984a-d82ea89b42bf,200,r_sicili
r_sicili:7c864d07-e7fd-43b6-a15d-1b761f00e469,200,r_sicili
p_tp:adc8a1b1-39c8-4f22-a95e-5db53a2d5c73,000,p_tp
